seq;GEORGE
7985;NÃO
7984;NÃO
7983;NÃO
9808;Sim
7877;SIM
9800;Sim
9785;Sim
9784;Sim
7873;SIM
9783;Sim
9782;Sim
9781;Sim
9778;Sim
9777;Sim
9776;Sim
7855;SIM
9775;Sim
7838;SIM
7836;SIM
9768;Sim
9767;Sim
7706;NÃO
7705;NÃO
9762;Sim
7683;NÃO
7666;NÃO
9746;Sim
7552;SIM
9743;Sim
9734;Sim
9728;Sim
9709;Sim
9698;Sim
9696;Sim
9695;Sim
9693;Sim
9680;Sim
254;NÃO
9679;Sim
9677;Sim
9675;Sim
248;NÃO
9674;Sim
9672;Sim
9671;Sim
9005;Sim
243;NÃO
242;NÃO
241;NÃO
240;NÃO
9004;Sim
8986;Sim
10340;Sim
10332;Sim
10327;Sim
10326;Sim
10325;Sim
232;NÃO
10323;Sim
10322;Sim
10302;Sim
10299;Sim
10298;Sim
10297;Sim
223;NÃO
221;NÃO
220;NÃO
10296;Sim
10295;Sim
216;NÃO
215;NÃO
214;NÃO
10294;Sim
10293;Sim
10292;Sim
10291;Sim
10275;Sim
205;NÃO
10273;Sim
203;NÃO
202;NÃO
10271;Sim
10270;Sim
10268;Sim
10267;Sim
10266;Sim
10264;Sim
193;NÃO
10262;Sim
10261;Sim
190;NÃO
10260;Sim
10257;Sim
10256;Sim
10253;Sim
10246;Sim
10223;Sim
183;NÃO
10213;Sim
10204;Sim
10203;Sim
179;NÃO
178;NÃO
174;NÃO
173;NÃO
10202;Sim
171;NÃO
10200;Sim
10199;Sim
163;NÃO
10192;Sim
10190;Sim
10184;Sim
10181;Sim
10178;Sim
10162;Sim
10150;Sim
153;NÃO
151;NÃO
10141;Sim
10124;Sim
148;NÃO
147;NÃO
10119;Sim
10118;Sim
10115;Sim
10112;Sim
10105;Sim
10104;Sim
10092;Sim
136;NÃO
10087;Sim
10085;Sim
10077;Sim
131;NÃO
130;SIM
10068;Sim
10067;Sim
10061;Sim
10059;Sim
119;NÃO
118;NÃO
117;NÃO
116;NÃO
10058;Sim
114;NÃO
113;NÃO
10057;Sim
10054;Sim
10051;Sim
10045;Sim
10037;Sim
10018;Sim
99;NÃO
10015;Sim
97;NÃO
10008;Sim
10002;Sim
10001;Sim
88;NÃO
87;NÃO
86;NÃO
85;NÃO
83;NÃO
9998;Sim
9997;Sim
9982;Sim
9980;Sim
9979;Sim
9970;Sim
74;NÃO
73;NÃO
72;NÃO
10340;Sim
70;NÃO
69;NÃO
68;NÃO
66;NÃO
65;NÃO
10332;Sim
10327;Sim
10326;Sim
61;NÃO
58;NÃO
57;NÃO
10325;Sim
10323;Sim
10322;Sim
10302;Sim
52;NÃO
10299;Sim
10298;Sim
48;NÃO
47;NÃO
45;NÃO
10297;Sim
43;NÃO
10296;Sim
10295;Sim
10294;Sim
10293;Sim
10292;Sim
10291;Sim
36;NÃO
10275;Sim
10273;Sim
10271;Sim
10270;Sim
10268;Sim
10267;Sim
10266;Sim
10264;Sim
10262;Sim
10261;Sim
10260;Sim
10257;Sim
23;NÃO
22;NÃO
10256;Sim
10253;Sim
10246;Sim
10223;Sim
15;NÃO
10213;Sim
10204;Sim
10203;Sim
10202;Sim
10200;Sim
9965;SIM
10199;Sim
9963;SIM
10192;Sim
9961;SIM
9960;SIM
10190;Sim
10184;Sim
9957;SIM
9956;SIM
10181;Sim
10178;Sim
9953;SIM
9952;SIM
10162;Sim
10150;Sim
10141;Sim
9948;SIM
10124;Sim
9946;SIM
9945;SIM
9944;SIM
9943;SIM
9942;SIM
9941;SIM
9940;SIM
9939;SIM
9938;SIM
9937;SIM
9936;SIM
9935;SIM
10119;Sim
10118;Sim
10115;Sim
9931;SIM
9930;SIM
9929;SIM
9928;SIM
9927;SIM
9926;SIM
9925;SIM
9924;SIM
9923;SIM
9922;SIM
10112;Sim
10105;Sim
9919;SIM
9918;SIM
9917;SIM
9916;SIM
9915;SIM
10104;Sim
10092;Sim
10087;Sim
9911;SIM
10085;Sim
10077;Sim
10068;Sim
10067;Sim
10061;Sim
10059;Sim
9904;SIM
9903;SIM
10058;Sim
10057;Sim
9900;NÃO
9899;NÃO
9898;NÃO
10054;Sim
9896;SIM
9895;SIM
9894;NÃO
9893;NÃO
10051;Sim
9891;SIM
9890;SIM
9889;SIM
9888;SIM
9887;NÃO
10045;Sim
10037;Sim
10018;Sim
9882;NÃO
9881;NÃO
9880;NÃO
9879;NÃO
10015;Sim
10008;Sim
10002;Sim
10001;Sim
9874;NÃO
9873;NÃO
9998;Sim
9997;Sim
9982;Sim
9868;SIM
9867;SIM
9980;Sim
9979;Sim
9970;Sim
10706;Sim
10703;Sim
10694;Sim
10684;Sim
10683;Sim
10682;Sim
10661;Sim
10660;Sim
10657;Sim
10656;Sim
10654;Sim
10653;Sim
9851;SIM
10652;Sim
10649;Sim
10648;Sim
10637;Sim
10617;Sim
10616;Sim
10615;Sim
10614;Sim
10613;Sim
10611;Sim
10607;Sim
