seq;genus;specific_epithet;infraspecific_epithet;scientific_name_authorship;genus_new;specific_epithet_new;infraspecific_epithet_new;scientific_name_authorship_new
22339;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
22341;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
24660;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
25147;Piper;corcovadensis;longiracemosum;(Yunck.) E.F.Guim. & Carv.-Silva;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
26226;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31980;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31987;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31992;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
32001;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37082;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37306;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
38245;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
38308;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
38384;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
38400;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
