seq;genus;specific_epithet;infraspecific_epithet;scientific_name_authorship;genus_new;specific_epithet_new;infraspecific_epithet_new;scientific_name_authorship_new
22749;Piper;corcovadensis;;(Miq.) C. DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
21867;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
21865;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
21869;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
22109;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
22235;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
22342;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
23378;Piper;corcovadensis;;(Miq.) C. DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
25101;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
25395;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
26225;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
32000;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31984;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31983;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31985;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31998;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31981;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31986;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
32003;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
32004;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
36846;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
36934;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37317;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37361;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37362;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37460;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37592;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37776;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37902;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
38097;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
38179;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
38682;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
39020;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
39185;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
39756;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
