"";"name";"searched_name";"value_founded";"trusted"
290;"Micheline Carvalho-Silva";"Carvalho";"MICHELINE CARVALHO-SILVA";True
291;"Micheline Carvalho-Silva";"Carvalho";"Carvalho-Silva, M.";True
292;"Micheline Carvalho-Silva";"Carvalho";"M. Carvalho-Silva/10-08-2006";True
293;"Micheline Carvalho-Silva";"Carvalho";"M. Carvalho-Silva/X-2006";True
294;"Truman George Yuncker";"Yuncker";"T. G. Yuncker";True
295;"Truman George Yuncker";"Yuncker";"Yuncker, T. G.";True
296;"Ricardo de la Merced Callejas Posada";"Callejas";"Callejas Posada R";True
297;"Truman George Yuncker";"Yuncker";"Yuncker,T.G.";True
298;"Daniele Monteiro Ferreira";"Monteiro";"Monteiro, D";True
299;"Daniele Monteiro Ferreira";"Monteiro";"Monteiro, D.M.";True
300;"Daniele Monteiro Ferreira";"Monteiro";"E.F.Guimarães & D.Monteiro/04";True
301;"Daniele Monteiro Ferreira";"Monteiro";"Guimarães, EF; Monteiro, D";True
302;"Daniel Ruschel";"Ruschel";"Daniel Ruschel";True
303;"Daniel Ruschel";"Ruschel";"Ruschel, D";True
304;"Elsie Franklin Guimarães";"Guimar";"E. Guimaraes & C. L. Ichas";True
305;"Eric J Tepe";"Tepe";"Tepe, E.J.";True
306;"Erika Von Sohsten de Souza Medeiros";"Medeiros";"E. F. Guimarães, E. Medeiros";True
307;"Eric J Tepe";"Tepe";"R. C. Foster; E. J. Tepe";True
308;"Micheline Carvalho-Silva";"Carvalho";"Carvalho-Silva, M.; Amorim, P.";True
309;"Micheline Carvalho-Silva";"Carvalho";"Carvalho-Silva, M; Pereira, LA";True
310;"Carmen Lúcia Falcão Ichaso";"Ichaso";"Ichaso, C.";True
311;"Carmen Lúcia Falcão Ichaso";"Ichaso";"Ichaso CLF";True
312;"Carmen Lúcia Falcão Ichaso";"Ichaso";"Ichaso, CLF; Guimarães, EF";True
313;"Daniele Monteiro Ferreira";"Monteiro";"Daniela Monteiro";True
314;"Daniele Monteiro Ferreira";"Monteiro";"D. F. Monteiro";True
315;"William Trelease";"Trelease";"Yuncker TG; Trelease W";True
316;"Aline Vieira de Melo Silva";"Silva";"A. V. de Melo Silva";True
317;"Daniele Monteiro Ferreira";"Monteiro";"D.Monteiro";True
318;"Daniele Monteiro Ferreira";"Monteiro";"D.Monteiro/15-06-2012";True
319;"Daniele Monteiro Ferreira";"Monteiro";"D. Monteiro/2008";True
320;"Daniele Monteiro Ferreira";"Monteiro";"D. Monteiro/25-03-2008";True
321;"Daniele Monteiro Ferreira";"Monteiro";"D. Monteiro/III-2008";True
322;"Daniele Monteiro Ferreira";"Monteiro";"D. Monteiro/VI-2011";True
323;"Truman George Yuncker";"Yuncker";"Yuncker";True
324;"William Trelease";"Trelease";"Trelease W";True
325;"William Trelease";"Trelease";"Trelease, W.";True
326;"William Trelease";"Trelease";"W. Trelease";True
